Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
90,Simon & Garfunkel,The Sound of Silence,1965,https://www.youtube.com/watch?v=bjkPQYWNTlg,The Sound of Silence (Electric Version),b81418ff33d2a75f2428175b70043ce6ed08f138584ad83df7ad37dfb46d82fe
91,Pa-Dö-Dő,Kiabálj,1990,https://www.youtube.com/watch?v=5BwLFQwWPYc,Kiabálj,6785c5f63208325e471f1edef0bbfb985ecf31f24f3de59a5a7b46c906f5dd4f
92,Loona,Vamos A La Playa,1998,https://www.youtube.com/watch?v=ueF0JPjBUi8,Vamos a la Playa,d13d63a79cd1a2960dc4b07a961101ddec657de8204e0fa8ed15ef160059b9e0
93,Demjén Ferenc,Hogyan tudnék élni nélküled,1993,https://www.youtube.com/watch?v=ryrFbuMqm6Y,Demjén Ferenc - Hogyan tudnék élni nélküled (Official Audio),2e136465e9914f2f6075ab70202a2ff49e7b64a3073e5221a1dc9b82ae166266
94,Edda Művek ,Álmodtam egy világot,1980,https://www.youtube.com/watch?v=XhcQup4bd0w,Álmodtam egy világot,f721d3c0a34f0e7613cf2c73a9ae9b84e05ec7d13788298c6ebaee7495ce9080
95,Emergency House,Dübörög a ház,1997,https://www.youtube.com/watch?v=6dlbNZxniZk,Dübörög a ház,60d411e401559dfe4d49b9bf1b3da188273af551ddc6769f49f8c83019772711
96,The White Stripes,Seven Nation Army,2003,https://www.youtube.com/watch?v=D_QLxj8jCF0,Seven Nation Army,db09311dde531ff7150ed259681db6d8c394da57efb0ad2d79308e1bc2440101
97,Robbie Williams,Rock DJ,2000,https://www.youtube.com/watch?v=ZLyyT9yW9kA,Rock DJ,6f063e7130fb18ca4cca4e1d53d5862bff615ec3464dae02679ec39f3719b2ac
98,Rudimental,These Days,2018,https://www.youtube.com/watch?v=v9I83RpXZ3o,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",7a80899606b22cca978ec16c8fb58334c79b0d0bb7cb647cdc9bc707fecae96b
99,Benny Benassi,Satisfaction,2002,https://www.youtube.com/watch?v=HYVWhwkERcQ,Satisfaction (Uk Radio Edit),42b2e68e9fceefc9890cf068891784ee567348b10d96bb9621e687677a5fb7ee
100,Patty Smith,Because the Night,1978,https://www.youtube.com/watch?v=YDJLjRWFJy0,Because the Night,2af41192cf35a7d35b507032a2a022c279b91aafd1478fd08069c5b352f06068
101,Flo Rida,Whistle,2012,https://www.youtube.com/watch?v=6Y24X4oTQLA,Whistle,686362289e89b43321e67a43089122cdc7151b4698af8df842f32256a82fb697
102,Szinetár Dóra,Mindenhol,1991,https://www.youtube.com/watch?v=Ii9IfadKgL4,Mindenhol,5b82406f04af60b5c17fede8c19c9091f7af0d3f1f5f2f26747c9495dec4fbfb
103,Quimby,Ajjajjaj,2009,https://www.youtube.com/watch?v=AHFAZYcBbQk,Ajjajajj,fb2e5fadaef0822b499e3bda6168611682c23e87bbad5fb01a1822f6dbf67231
104,V-Tech,Éjfél után,1998,https://www.youtube.com/watch?v=8o9Cs9Su9Qk,Éjfél Után,960ff2f44c0b36c6f9e91aa0def23e4198d821416613dfe288b842e7e8e9cd54
105,Sonny & Cher,The Beat Goes On,1967,https://www.youtube.com/watch?v=7F6D5hLkOqo,The Beat Goes On (2024 Remaster),6ad2e5bd81af5f43bb7a60db18796af4c2095011fc5304d5739d2b7870c2e020
106,Demjén Ferenc,Szerelem első vérig,1987,https://www.youtube.com/watch?v=1tqKWDTwrHU,Szerelem első vérig,ee7b614889a0bfce31b91443f8ea63622affdd44b054f452e426e5bd466ddf31
107,Bon-Bon,Valami Amerika,2002,https://www.youtube.com/watch?v=m1W0USyGOPA,Valami Amerika,2e2c1b74bb9342c18cfa18b53e328b90d0d1137a041220a1d9d74bbfb1af0b23
108,Madonna,Like a Virgin,1984,https://www.youtube.com/watch?v=j5Y3u2D8kxg,Like a Virgin,a776355e4e569e85762dec4fcb6e5aba798fa6b77b3e59c02ea5cb032035275d
109,Roxette,Sleeping In My Car,1994,https://www.youtube.com/watch?v=UJ6ut9xV4Gs,Sleeping in My Car,ecc47f65b5f78c26f8e87b597759e6a993fc9019e7a95cade494cdc5517fc1a3
110,Christie,Yellow River,1970,https://www.youtube.com/watch?v=KueMOCJFX9A,Yellow River,3baae75d5d9d7cde8561761040cc87e36c98120f878767c29181d7c81c3a0300
111,ABBA,"Money, Money, Money",1976,https://www.youtube.com/watch?v=1LPNuFkteI8,"Money, Money, Money",eb5cc3ba42436fd2d8d0bd2c68d3f42f7414420a337ed3b44073f13cf1ec0f1d
112,Follow The Flow,Szélcsend,2023,https://www.youtube.com/watch?v=tJwPrO3Kcls,Szélcsend,41375978504249fafc20da852be8e4f35dd753c389fa57d12ff05083632c2aa4
113,WellHello,Nem olyan lány,2018,https://www.youtube.com/watch?v=O-uk9Il-BL8,Nem Olyan Lány,d0c6d0c84530a00e78589a21ea8fbfc0d03b0f131885662d071eea95ebd57b62
114,Zalatnay Sarolta,Nem vagyok én apáca,1970,https://www.youtube.com/watch?v=iGfsMOM8mUI,Nem vagyok én apáca,10f0d74e8f5e16a9a801b079045ab5d600c7754e63896496a2bb9a863c2bc237
115,Kungs,Never Going Home,2021,https://www.youtube.com/watch?v=pQSQapdLwJQ,Never Going Home,56462491148bc6d39a39fa77def5da3e9acf5c4e706ee5167b418d302d0d2922
116,Ike & Tina Turner,Nutbush City Limits,1973,https://www.youtube.com/watch?v=DbivX78Degg,Nutbush City Limits,a4092d5979c523647d2915fa9b7f6e662059e7e416acb7b938fced91ad78a76b
117,Don Omar feat. Lucenzo,Danza Kuduro,2010,https://www.youtube.com/watch?v=EKjdR-5XKYs,Danza Kuduro,d50ac3258c3aceebf865a5142dd12ddf482be3053648abf1c4cf60b7422cc3f7
118,Magic!,Rude,2013,https://www.youtube.com/watch?v=3WzamI8QD2s,Rude,159bd8d0cf6fb409c27b45fd6aa4bdeba4e6945c8d443847ae1ffeb258ae2ca3
119,Village People,Y.M.C.A.,1978,https://www.youtube.com/watch?v=RN8Li7kYNnw,YMCA (Original Version 1978),14cfe3b24e081ec59cd60ce757c0239f025140129402c202372c0d1974b2949f
120,Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,https://www.youtube.com/watch?v=VHK5k2ieudc,Don't Go Breaking My Heart,2635d319c68430e83791c60a07d6af8bbd076336adf479635e89362b0c260e81
121,Panic! at the Disco,High Hopes,2018,https://www.youtube.com/watch?v=GJY8OMJXRAk,High Hopes,b279e59289c9a658d62907a89f6837adf8192f9fd4b21461b43cff94667a496b
122,Avicii,Wake Me Up,2013,https://www.youtube.com/watch?v=2NiyrtYegso,Wake Me Up,9a227a049d74468d4194b2b1795e1259607025440013da7812be09509ec2dbc9
123,The Nolans,I'm in the Mood for Dancing,1979,https://www.youtube.com/watch?v=-cI9VJbFZaQ,I'm in the Mood for Dancing,b609964750f0f9479133d5f7791bd9d4437e9cb239550a361d25743cd7ba65c5
124,Horváth Tamás,Beléd estem,2014,https://www.youtube.com/watch?v=T_27F9bG05E,Beléd Estem,f0f95180311645037fe80d6f142b982fa8863dc47fd1ff67de8896b664874c6a
125,The Rolling Stones,Angie,1973,https://www.youtube.com/watch?v=aVLBF-UKevY,Angie (Remastered 2009),69b4873fa23ff1ef37c5b47d12f3ea1d51f7862d10cbf29f65782f2cf4f6bf12
126,Ini Kamoze,Here Come the Hotstepper,1994,https://www.youtube.com/watch?v=354zVBILYPM,Here Comes the Hotstepper,8c80683a67fe4340f555c153b9ede2fc42c7442ef08814158b532d147fc42a8a
127,Lola,Hallja meg a világ,2006,https://www.youtube.com/watch?v=Wa81uw2zdzs,Lola - Hallja meg a világ,8defc8b7f7ab0ab09e0883a043860f1ed4c39f3f11e9a5d16b29c867975b4e50
128,Diana Ross,I'm Coming Out,1980,https://www.youtube.com/watch?v=AGO19YOaw6U,I'm Coming Out,fb7213a1011e562ff6399a1a77b64853fe57fbea0871e8e199ef12fc546dd955
129,The Pussycat Dolls,Don't cha,2005,https://www.youtube.com/watch?v=rDBck1REfBc,Don't Cha,ba6dcf4a891429d8570016a4fa3d15c10e92ecef3018f069b86021550839d664
130,Take That,Back For Good,1995,https://www.youtube.com/watch?v=wdOwlQZmLCk,Back for Good (Radio Mix),dbcac8d93803ab2a54781570151c40ee149d597334011a35889b0b7308570e74
131,Mc Hammer,U Can't Touch This,1990,https://www.youtube.com/watch?v=gDCRrvtY78g,U Can't Touch This,21b1da7aeb37c745e4d8bbb74995eb8353f1af73aa7c1b1261539e061516b817
132,Bruno Mars,Just the Way You Are,2010,https://www.youtube.com/watch?v=HBzyuCda2RI,Just the Way You Are,63a78d7f3390ff80f3d46cae90b838f136b2f803aa9abb2bdf942ed9c617b734
133,Edward Maya & Vika Jigulina,Stereo Love,2009,https://www.youtube.com/watch?v=BLukLvY8Mv0,Stereo Love (Original Mix),983a18da434b85ccfaf10e5f365446856ba07fae76ce5d1e4e8bacdcd3185324
134,TNT,Titkos üzenet,1997,https://www.youtube.com/watch?v=-bzvB8aPszw,Titkos üzenet,6d2655cef25d1a204c888aef7cd363bff6dfa46b81c043eabe8bbda2ba37e601
135,Bloodhound Gang,The Bad Touch,1999,https://www.youtube.com/watch?v=523Lqlk4fm8,The Bad Touch,11fa51d69a5646e8c323993a62d4e50324760fe2583c9bc7fcecfa8c61dfebd9
136,Krisz Rudolf,Homokba rajzolt szerelem,2002,https://www.youtube.com/watch?v=n3x8G0qsMsE,Homokba Rajzolt Szerelem,b120067206838c16270aba1acc79d6c0d36ddafb8441f71d2599991235fc035b
