Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
14,Ava Max,Sweet but Psycho,https://www.youtube.com/watch?v=DeRMg_AUZJg,a30e4c1c3561423cbb2fba31b0d4b4457af8bc24894f4d37e41ab8adc4e5e557,Ava Max - Sweet but Psycho ( Lyrics ),2018
15,Katie Melua,Nine Million Bicycles,https://www.youtube.com/watch?v=rrPUJsZQSkw,4fe9956d413faa6c249d02d6f7d78d1973b908f4d5216f94fab0106969cc13a1,Katie Melua - Nine Million Bicycles,2005
16,Lady Gaga,Alejandro,https://www.youtube.com/watch?v=niqrrmev4mA,10ae3ae0831108e741eb7f4846ce024f7b3757c238fa9ec6afe112be695492ad,Lady Gaga - Alejandro (Official Music Video),2010
17,Status Quo,What You're Proposing,https://www.youtube.com/watch?v=9sivblqJGN4,7fbe0f17dbf2968422445e2d980d23630bfbd5f45c2a42f204bcf35057777b28,Status Quo - What You're Proposing TopPop,1980
18,Pet Shop Boys,Suburbia,https://www.youtube.com/watch?v=-VCqAjYO3NM,a5ad2d02b2d3ce734a85233422fdae4e3398ede04b218c62e7de1d1272cf2417,Pet Shop Boys - Suburbia,1986
19,Karl Jenkins,Adiemus,https://www.youtube.com/watch?v=u2ZLeSkaezM,10bfc184ac970c996a22eb5dd244d6dc43a410b8baafcb3c5f638b768281483a,Karl Jenkins - Adiemus (Official Music Video) HQ-HD,1995
20,Joe Cocker,You Can Leave Your Hat On,https://www.youtube.com/watch?v=4b04jq7NB1s,6241073828c723b873b1cb6baa7a267492de1311899b2610b1dde6ae2d9d17ec,Joe Cocker - You Can Leave Your Hat On (Official Video),1986
21,Green Day,Wake Me up When September Ends,https://www.youtube.com/watch?v=pGhwBFYtn1s,183c434d0b7459a3f4086576230c5055166ddd7c19d785c50482b05b8aa171b3,Green Day - Wake Me Up When September Ends (Official Audio),2004
22,Wings,Mull Of Kintyre,https://www.youtube.com/watch?v=Plhtk_XJqhM,fdcc75d5b620e202af7f90ef18dd819720471e242e6dff7bea0b2563b4c511fe,Wings - Mull Of Kintyre,1977
23,Jon Bon Jovi,Blaze Of Glory,https://www.youtube.com/watch?v=MfmYCM4CS8o,00e40e77e37f1c6bd176e2b265c027b7c9cfe6b06b86cbfdc54af27ad4ed713d,Jon Bon Jovi - Blaze Of Glory (Official Music Video),1990
24,Rihanna,Diamonds,https://www.youtube.com/watch?v=lWA2pjMjpBs,d9d7c29820bbb945dcea4b2c0e0d696d90e3cd4421ccc337ee43b0d4635b58a0,Rihanna - Diamonds,2012
