Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
73,Kool & The Gang,Celebration,https://www.youtube.com/watch?v=3GwjfUFyY6M,cfeb9c93963d34289364d6aa7859feeab8e04e96584f6e68274fee8c9d6c3492,Kool & The Gang - Celebration,1980
74,The Chordettes,Lollipop,https://www.youtube.com/watch?v=3rYoRaxgOE0,13789616e14cadb10bb9d883f574a4ef11a3ca11923e9a00516ec067e7213d8a,Chordettes - Lollipop,1958
75,Prince,Purple Rain,https://www.youtube.com/watch?v=347vCib_lMs,7707c2be952d21dc9f0a01f6a23c725a14fc0b2f6dae35472964e8d14d5a4ed0,Purple Rain,1984
76,Enrico Caruso,La Donna E Mobile (Rigoletto),https://www.youtube.com/watch?v=RZNkoRb2iLQ,02724062dc5e32725d955acab8c7538c102c1a99bc1cec8a242d1af680d790c4,Enrico Caruso - La Donna e Mobile (Remastered),1908
77,Alvaro Soler,La Cintura,https://www.youtube.com/watch?v=Eg4LUvUjUWI,33443116ae0689d0c9cef0a7483b4573ee432c1de535cbcacc7649978642f505,Alvaro Soler - La Cintura,2018
78,Haddaway,What Is Love,https://www.youtube.com/watch?v=HEXWRTEbj1I,a4bd016b14be7e5308df91a5ae9f085735b50eb0119669ed89b827353dd6d1ec,Haddaway - What Is Love [Official 4K],1993
79,France Gall,Il jouait du piano debout,https://www.youtube.com/watch?v=7l7eXx_8DHY,f51af8d0df1b161c554d7ab848a60ffc7917fbdd776cc9c7760ef84df89a8400,France Gall - Il jouait du piano debout (Audio officiel),1980
80,Queen et David Bowie,Under Pressure,https://www.youtube.com/watch?v=HglA72ogPCE,ea106180c7881548bc671adff2fc22a5e2fcfe01d58f2d6b0573a229b1766796,David Bowie & Freddie Mercury - Queen - Under Pressure,1981
81,Michel Delpech,Pour un flirt,https://www.youtube.com/watch?v=ODti1POj86A,4e11cad9ce05ef2b3575883630488ad98edffc0bf245c5184acafbd4adb675ed,Michel Delpech - Pour un flirt (Audio Officiel),1971
82,Olivia Ruiz,La femme chocolat,https://www.youtube.com/watch?v=gU8ckNkKbDA,284da6e7fb93ce87ef9b3d2c53bc20f6a4f1dfdf65f29c71f9180925434dc19c,Olivia Ruiz - La Femme Chocolat,2005
83,Gleen Miller,In The Mood,https://www.youtube.com/watch?v=aME0qvhZ37o,317ab4adba921342cf2485d199d22ad589d592f79cbc72fd2681857a24e0c411,Glenn Miller - In The Mood | Colorized (1941) 4K,1939
