Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
62,Before You Go,Lewis Capaldi,2019,https://www.youtube.com/watch?v=Jtauh8GcxBY,de679e6d3017c4466be28278805ef032a3629d91891300e7a4bf1c2294de8ce9,Lewis Capaldi - Before You Go (Official Video),DEUM71905868
63,Late Night Talking,Harry Styles,2022,https://www.youtube.com/watch?v=4VaqA-5aQTM,9d6949abd18172c74426ac79a2d423414145155e7f212c8ccf0553b881850cde,Harry Styles - Late Night Talking (Official Video),USSM12200610
64,Verdamp lang her,BAP,1981,https://www.youtube.com/watch?v=AKic1GlVpwg,36b1abd7f5a26d30c6052cabc362173fa3225d065c5a2ed69cf6da6a28e4a7d2,1981 BAP - Verdamp lang her,DEA349400695
65,Wenn du da bist,Pur,1997,https://www.youtube.com/watch?v=nUCtOCfpjNM,456fc69f0856a4118a06236de1253b9ee29d27cd35bbcd9379e7e09db257bab0,Pur - Wenn du da bist (Offizielles Musikvideo),DEA349707480
66,Why ?,Bronski Beat,1984,https://www.youtube.com/watch?v=H3LbzjFJdSA,852f2a925a5f4d15b86c428ef92c8af36771e04a9bcb81e30c1eb0893005fc22,Bronski Beat - Why ? (Official HD Video),GBAAP0000546
67,"No More ""I Love You's""",Annie Lennox,1995,https://www.youtube.com/watch?v=NSkboTTTmpg,542329a3324100566df1e65f0514708c8522b9e20cd811d4abf58c770fe37fc9,Annie Lennox - No More 'I Love You's' (Official Video),GBARL9400416
68,Are You Gonna Go My Way,Lenny Kravitz,1993,https://www.youtube.com/watch?v=8LhCd1W2V0Q,d991e6010414bc3496781e0f329ded1bf6f2325faceaf1ba2f192deca31058f5,Lenny Kravitz - Are You Gonna Go My Way (Official Music Video),USVI29300001
69,Halo,Beyoncé,2008,https://www.youtube.com/watch?v=bnVUHWCynig,77cea70543136ff55dfca735858cbc5828e99b5322af6c5a06cecab534353df9,Beyoncé - Halo,USSM10804556
70,Sadeness - Pt. 1 / Radio Edit,Enigma,1990,https://www.youtube.com/watch?v=4F9DxYhqmKw,802e745919319ebfb874e1f4eb1d4d3a9f8ae130f9b7fb1eb081afc29be74df5,Enigma - Sadeness - Part i (Official Video),DEG129000013
71,Clint Eastwood,Gorillaz,2001,https://www.youtube.com/watch?v=1V_xRb0x9aw,1c64c2b61b697f3b55b56499c40d3df0aeeb4e1bbb443f0638cc5b630e34e334,Gorillaz - Clint Eastwood (Official Video),GBAYE0001408
72,Rome Wasn't Built in a Day,Morcheeba,2000,https://www.youtube.com/watch?v=FLGJXbl6g8o,61e6e4f0dc948493169caad802ac2f4dd745e7b0e14685438a6e28df7f341d1c,Morcheeba - Rome wasn't built in a day (Official Video),GBAHS0004193
73,Got to Get It,Culture Beat,1993,https://www.youtube.com/watch?v=M9gZjNfMVWQ,303b3ddacf2c254bdf3b44e2a41d49aeb199d00db2bd7fdb11c7ef3e8bf0f52c,Culture Beat - Got to Get it (Official Video),DEPT99300134
74,Herz über Kopf,JORIS,2015,https://www.youtube.com/watch?v=oq0rrYrufYU,60dc0b569eb9a1d750a4db1016f3aeff8dab5a58b40aae3c70f3a6c4b91e041c,JORIS - Herz über Kopf (Official Video),DEQ321400478
75,Talk Dirty (feat. 2 Chainz),Jason Derulo,2013,https://www.youtube.com/watch?v=ivmV-artwnM,a9c25dfdd2325e54ef08802055231fdb2fc6d0142a600c805f402089f150a118,Jason Derulo - 'Talk Dirty' feat. 2 Chainz (Official HD Music Video),USWB11302648
76,Dr. Stein,Helloween,1989,https://www.youtube.com/watch?v=3FFTQRmsK0k,4476562511cea2db7309a575a7d4cfb3409989709f487a826d0e4a7ed86eb8ef,Helloween - Dr. Stein,GBAJE0201638
77,Rather Be (feat. Jess Glynne),Clean Bandit,2014,https://www.youtube.com/watch?v=m-M1AtrxztU,92c7b96c5c1796aeeec760d246d98ad579c1bb00a1358fde1a168465f863c52e,Clean Bandit - Rather Be ft. Jess Glynne [Official Video],GBAHS1300498
78,Little Talks,Of Monsters and Men,2011,https://www.youtube.com/watch?v=ghb6eDopW8I,7f40891f22988c2f231458b104b06be50df5d4e8732eec33613f7f220a5064fe,Of Monsters and Men - Little Talks,USUM71119106
79,Lemon Tree,Fools Garden,1996,https://www.youtube.com/watch?v=wCQfkEkePx8,190cc11ee5d38eddc671efb7fd53162fb663a6cd94518a3833c1fcf7bd7e08f4,Fools Garden - Lemon Tree (Official HD Video),DEAF70927221
80,Give Me More,The Teens,1980,https://www.youtube.com/watch?v=2JZNidi2fis,038541806ac9a614a26d4eefcad68dda6d6fd2e20b0ad8cbb95fcbe934de7073,The Teens   Give Me More,DEC739600746
81,She Bangs - English Version,Ricky Martin,2000,https://www.youtube.com/watch?v=5ihtX86JzmA,a9c4485baa09466a29a5d547844cec0e32136704a65db960cdf8072f7ba0309c,Ricky Martin - She Bangs (English),NLB630000023
82,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,https://www.youtube.com/watch?v=XEjLoHdbVeE,5861abd9176913dd52344aa358e9c17863772e294626c0d5ecb9842ecdff7de6,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),SEAYD7901120
