Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
158,Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life,1987,https://www.youtube.com/watch?v=4BQLE_RrTSU,"Bill Medley, Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video)",e64a7fa9c67ae33d4af3e5dd729884adb406a0d38fa58c84228edcf437ee2cd4
159,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",1970,https://www.youtube.com/watch?v=inXC_lab-34,"Stevie Wonder- Signed, Sealed, Delivered, I'm Yours",e4a15e7d4c4e7bd084da77d8f797be37ebcf2f8a9794b46d1ab635ed4610ecf2
160,Marvin Gaye,I Heard It Through The Grapevine,1968,https://www.youtube.com/watch?v=VWG3npfEoHo,I Heard It Through The Grapevine,9623f7e2f5923c87c0fd9ae2ac0ebd175fbc53f21ad2e7e862ff1619a126b295
161,Creedence Clearwater Revival,Have You Ever Seen the Rain?,1970,https://www.youtube.com/watch?v=bO28lB1uwp4,Creedence Clearwater Revival - Have You Ever Seen The Rain,b6e12530788e5d77427b9590d47725c5ae9980a7105b6fe46a5c410401084e9d
162,Chicago,If You Leave Me Now,1976,https://www.youtube.com/watch?v=-9_d-sFhmRM,Chicago - If You Leave Me Now (Official Audio),1eabc29ea89ef03c558e4220ba9e799eed808640ca4bd8f01c0e87e47398aaad
163,Bruce Springsteen,Dancing In The Dark,1984,https://www.youtube.com/watch?v=8cNS_Mecbw8,Bruce Springsteen - Dancing In The Dark,ab771c24882ca71333bbd49ce79868209385d1f27ece2e1ccac5b80d2975d7ff
164,Billy Idol,White Wedding,1982,https://www.youtube.com/watch?v=DP8A3ZfwYj0,Billy Idol - White Wedding (Remastered),b858b1a311bc307b2d4fd4b647b7af6aa7e9a22ec8be1941a70c8b266b1cb5d0
165,Miami Sound Machine,Conga!,1985,https://www.youtube.com/watch?v=5SXX-pWzOY8,Conga,39e85f86876f37ed18718ac13fbaf020047402586aef186b13d2887bd65c4212
166,Sam The Sham & The Pharaohs,Wooly Bully,1965,https://www.youtube.com/watch?v=KZJiGu6Gz8E,Sam The Sham & The Pharaohs Woolly Bully,f45f09b728458800ffcecd4b2c383e6f1f3748498a662630b7dc3bc57d8d9126
167,Mika,"Relax, Take It Easy",2007,https://www.youtube.com/watch?v=RVmG_d3HKBA,"MIKA - Relax, Take It Easy",07f03f7236980c1ed3a95cdfdb6c592b7949fa22b7d02a9ed4b76fffe1125ee9
168,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,https://www.youtube.com/watch?v=id2-K3daNRQ,I Wanna Dance with Somebody (Who Loves Me),3436bdfc5bd1ac10347cacf275a7f5b0b952e1f68381fd4e857315d8c1f95813
169,Culture Beat,Mr. Vain,1993,https://www.youtube.com/watch?v=V3qUoiwr5kQ,Mr. Vain,f01693d066cec43d39886a5f62cf6793b2722d5474e696149ce9acb20243ea3d
170,Adele,Set Fire To The Rain,2011,https://www.youtube.com/watch?v=a2giXO6eyuI,Set Fire to the Rain,d7e7693b5fb8cddf240d492b6b87da8bbc1418413b466ac097fd0b94913e7059
171,Coldplay,Viva La Vida,2008,https://www.youtube.com/watch?v=dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),4978685807e342187b61111c890668dc84e819346dc3c1371658caa336724eee
172,George Michael & Aretha Franklin,I Know You Were Waiting (For Me),1987,https://www.youtube.com/watch?v=48SfMCr0PpY,I Knew You Were Waiting (For Me),2ffe7321455d6eae813d5bd4b21c208a9f1f2e87876ac403550b9dfbaa757d0a
173,ABBA,Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,ABBA - Waterloo (Official Music Video),c646d8b8ee151cfc64a3035caf9e94a1cadfd70ce317c6edf68ff3cec415506d
174,Michael Bublé,Haven't Met You Yet,2009,https://www.youtube.com/watch?v=rqthwCypho4,Michael Bublé - Haven't Met You Yet,e575f73d3ab2b125f5628d9326e2069d16adfbd03f940bde30c7f05c0d09c0ab
175,Carly Simon,You're So Vain,1972,https://www.youtube.com/watch?v=j13oJajXx0M,Carly Simon - You're So Vain,65404ec60abd91fd489837973aaaf811874f9b6e7d67105a858596bbc1db2f8f
176,The Kinks,Lola,1970,https://www.youtube.com/watch?v=LemG0cvc4oU,The Kinks - Lola (Official Audio),77706b32c3d363335c2d516bcb05bfead76e63b83587c2e89bd3204a17ee6e6f
177,BTS,Dynamite,2020,https://www.youtube.com/watch?v=Mzk6KkyxXC8,BTS - Dynamite (Lyrics),bae7592edcbf1a02fa8c1e647881adfe581dff2a944973f01b8bde2ac264ef19
178,Eros Ramazzotti,Più Bella Cosa,1996,https://www.youtube.com/watch?v=luj0L5SZQwM,Più bella cosa (Remastered 2021),be6b26a800a98da1eaca228d80aa3d7b9287ed17792b72e199193ce29738d619
179,Nickelback,How You Remind Me,2001,https://www.youtube.com/watch?v=hhSLkkLl750,How You Remind Me,f52eaa9ef7ec96166acba718d78423498788921c9bd9ab290633f700b53b4c80
180,Lorde,Royals,2012,https://www.youtube.com/watch?v=nlcIKh6sBtc,Lorde - Royals (US Version),e4c9b66057e248f5b33a4872bd6e6fabfdc1cc893543037f5a12cd1abada3424
181,Katy Perry,Firework,2010,https://www.youtube.com/watch?v=pf0dhYEFn8s,Firework,523b460a3bc7ff689d0f5afec729c73940ddc82945108af770c13cd59fc3103f
182,Captain Jack,Captain Jack,1995,https://www.youtube.com/watch?v=0Bb_w7nOBwg,Captain Jack - Captain Jack (Official Video 1995),88c923ee42eee36e99e21c0f962c8c4cb47e04f3d91388a8416944edb94e8b36
183,Amy Winehouse,Rehab,2006,https://www.youtube.com/watch?v=KUmZp8pR1uc,Amy Winehouse - Rehab,e9581d4baf74336dd2b04d0113821ea755473b5eeb9ede61a0478524eb489ba7
184,Loreen,Euphoria,2012,https://www.youtube.com/watch?v=t5qURKt4maw,Loreen - Euphoria (Official Audio),00d5b136e9730ec4b9c3b9216a4a04b8bfee5f61c6966a3902c352ff1292129c
