Card#,Title,Artist,URL,Youtube-Title,Hashed Info
66,Do You Know? (The Ping Pong Song),Enrique Iglesias,https://www.youtube.com/watch?v=UqON44CLaQM,Enrique Iglesias - Do You Know? (The Ping Pong Song),ba157323ec96dcb652ce10178032bb5d437f1dd39526e74f3655dfb4b75b7a6a
67,Warum?,Tic Tac Toe,https://www.youtube.com/watch?v=S2lWV74yZ5o,TIC TAC TOE - Warum? (Für Melanie) (Musikvideo),e56224e55a5bd938346f440ca2cdf42729698467d29c238c7fb3a65ed064350f
68,Gimme Hope Jo'Anna,Eddy Grant,https://www.youtube.com/watch?v=3P-imA4618Y,Eddy Grant - Gimme Hope Jo'Anna (Official Video),c3af2223739dd4daff7c1233c990ceb88941b1c49f448158167e128329076211
69,Wind of Change,Scorpions,https://www.youtube.com/watch?v=n4RjJKxsamQ,Scorpions - Wind Of Change (Official Music Video),c47abe474662ca2b5a7e056768f3aba3b61d1c5f0f438ceb73bb9526879cc51a
70,Le Freak,CHIC,https://www.youtube.com/watch?v=aXgSHL7efKg,CHIC - Le Freak (Official Music Video),29dec95b3aa10ae8e79d0af88fa52af22f02c4f9f007dd856ea9f11c34f47a80
71,Haus am See,Peter Fox,https://www.youtube.com/watch?v=j-XKgB5guDQ,Haus am See,330f97d46cbfeaa7cc4e7a85ea62d301500376df89b5a99d5dfd8b92a73c75ad
72,Poker Face,Lady Gaga,https://www.youtube.com/watch?v=bESGLojNYSo,Lady Gaga - Poker Face (Official Music Video),7ab456a6e035796c5935d3b39de0948e5db928560a29f22e28d36c5375548ec5
73,It's a Heartache,Bonnie Tyler,https://www.youtube.com/watch?v=bEOl38y8Nj8,Bonnie Tyler - It's A Heartache (Official HD Video),f330944d4d5cd6e4098f15977ace1fa2479807625fec0a4bd6d1bc9a74ebda42
74,Johnny B. Goode,Chuck Berry,https://www.youtube.com/watch?v=Uf4rxCB4lys,Johnny B. Goode,35e02617333a6f2b7905dd38452467a45aa0496e8b893c5f4f12b15f5cba11b1
75,White Wedding,Billy Idol,https://www.youtube.com/watch?v=AAZQaYKZMTI,Billy Idol - White Wedding (Part 1),80f29e010f2f9985fdf862eb4453704d4034d90789bca6366ee1af4533ad8333
