Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
161,Ohne Dich (schlaf' ich heut Nacht nicht ein),Münchner Freiheit,https://www.youtube.com/watch?v=0fUsuQUUotA,873c6609f66fe351a63587d158e6c6e0b74159b14721d6628018a7158d637702,Ohne Dich (schlaf' ich heut Nacht nicht ein),1985
162,Carbonara,Spliff
163,"Der Wilde, Wilde Westen",Truck Stop
164,Hello Again,Howard Carpendale
165,Starke Gefühle,Juliane Werding
166,Lieben heißt Leben,Bernd Clüver
167,Büetzer Buebe,"Gölä, Trauffer"
168,Mein Herz,Beatrice Egli,https://www.youtube.com/watch?v=rvBBMSfF31w,278aa20cab6d3f3b9f2bb33596c4ff244c62b80ec503ad8654d0dc808be26c01,Beatrice Egli - Mein Herz,2013
169,Wenn den Kindern Flügel wachsen,Ingrid Peters,https://www.youtube.com/watch?v=lkPZMQuGq3I,accf4d9cb3fcb82f16eacd23f791790a5095e06f1f4771e8900283a98f986f20,Wenn den Kindern Flügel wachsen,2005
170,Hier kommt Kurt,Frank Zander
171,"Verlieben, verloren, vergessen, verzeih'n",Wolfgang Petry,https://www.youtube.com/watch?v=VH9mObSufSg,cbedf35d7b81dc064a3d1a07c9bf2cc556c530c2b3e10c151bdcd33e23b6c237,"Verlieben, verloren, vergessen, verzeih'n",1992
172,Du Depp,Haindling
173,Mary Jane,Jürgen Peter
174,"Resi, i hol di mit mei'm Traktor ab",Wolfgang Fierek
175,Barfuß im Regen,"Dieter Thomas Kuhn, Michael Holm",https://www.youtube.com/watch?v=U1Wgb4nPlZA,1a4e8dc5c29cfff081f5d5686c9eacc5a01739512156e7c8c3c663a4bb1098c1,Barfuß im Regen,1970
176,Johnny Däpp (Ich Will Mallorca Zurück),Lorenz Büffel
177,Du hast mich tausendmal belogen,Andrea Berg
178,So a schöner Tag,Donikkl
179,Klibbeln im Bauch,Pe Werner
180,Hulapalu,Andreas Gabalier
181,Michaela,Bata Illic
182,Ich sterb fur dich,Vanessa Mai
183,Nicht mal eine Stunde,Mike Leon Grosch
184,Kölsche Jung,Brings
185,Je T'aime Mon Amour,"Claudia Jung, Richard Clayderman"
186,Freu dich bloß nicht zu früh,Gitte Haenning
187,Die kleine Kneipe,Peter Alexander
188,Die Biene Maja,Karel Gott
189,Und heut' Nacht will ich tanzen,Michelle
190,Night Fever,Dieter Thomas Kuhn & Band
191,Es gibt kein Bier auf Hawaii,Paul Kuhn
192,Das Spiel ist aus (Game Over),Olaf Henning
193,Das Lied von Manuel,Manuel & Pony
194,Du warst der geilste Fehler meines Lebens,Nockis
195,Es gibt nur Wasser,Santiano
196,So a Nacht,Spider Murphy Gang
197,Herzilein,Rudolf Rock & Die Schocker
198,Der rote Mond von Agadir,Fernando Express
199,Nimm einmal noch meine Hand,Ines Adler
200,Willkommen im Club,Ross Antony
201,Anton aus Tirol,DJ Ötzi
202,Lebt denn der alte Holzmichl noch?,De Randfichten
203,Einen Traum für diese Welt,Xanadu
204,Oberammergau - Apres Ski Mix,Peter Wackel
205,Katzeklo,Helge Schneider
206,"Ich bin kein Dichter, kein Poet",Tom Astor
207,Alles wird gut,"Thomas Anders, Florian Silbereisen"
208,Und es war Sommer,Peter Maffay
209,Moos Hamma,"Münchner Zwietracht, Rudolph Moshammer"
210,Ich will alles,Gitte Haenning
211,Sex & Seine Konsequenzen (DJ-Mix),Anja Regitz
212,Nur geträumt,Nena
213,Wir haben Grund zum Feiern,Otto Waalkes
214,Ich kann nicht ohne Dich - Fox Mix,Frank Lars
215,Willst du mit mir geh'n,Daliah Lavi
216,Millionen Frauen lieben mich,Karl Dall
217,"Grüezi Wohl, Frau Stirnimaa",Die Minstrels
218,"Guten Morgen, liebe Sorgen",Jürgen von der Lippe
219,So schmeckt der Sommer,Edward Reekers
220,Lederhosenrock,Melissa Naschenweng
221,Der Nippel,Mike Krüger
222,Du kannst nicht immer 17 sein,Chris Roberts
223,Es Schiesst Ein Blitz In Meinen Kopf,Michael Morgan
224,"Das geht ab, Wir feiem die ganze Nacht",Die Atzen
225,Hor meinen Herzschlag,Norman Langen
226,Bist du dafür bereit?,Marie Reim
227,Ein Leben lang,Kastelruther Spatzen
228,Herzilein,Die Wildecker Herzbuben
229,"Junge, komm bald wieder",Freddy Quinn
230,Wini-Wini,Die Tahiti Tamoures
231,Ich versprech dir nichts und geb dir alles,Wolkenfrei
232,Zehn Nackte Friseusen 2003,Mickie Krause
233,Ein Augenblick in Rot,Münchener Freiheit
234,Mama Laudaaa,"Almklausi, Specktakel"
235,Schon ist es auf der Welt zu sein,Roy Black
236,Sternenhimmel,Hubert Kah
237,Wer hat dir das Küssen beigebracht,Gaby Baginsky
238,Schwarz und Weiss,Oliver Pocher
239,"Wenn nicht jetzt, wann dann?",Höhner
240,E Vogel ohni Flügel,Peter Reber
241,Ein Himmelbett im Internet,Ibo
242,Hal-Le-Lu-Ja,"Klostertaler, Kastelruther Spatzen, Nockis"
243,Eine Frau die mich nach Hause trägt,PS Alex
244,Er hat ein knallrotes Gummiboot,Wencke Myhre
245,Ich hab Alain Delon geseh'n,Christoff
246,Deine braunen Augen,Alisha
247,Bianca,Freddy Breck
248,"Sieben Tage, Sieben Nachte",Monique
249,Dich hat der Himmel geschickt,Bernd Clüver
250,7 Tage hat die Woche,Manuela Fellner
251,Na und?!,Ben Zucker
252,Irgendwann ist jetzt,Max Giesinger
253,Immer wieder sonntags,Cindy & Bert
254,Theater,Katja Ebstein
255,Ich wär so gern so blöd wie du,Tic Tac Toe
256,Für dich,Brunner & Brunner
257,Du-nur-du-nur-du,Isabel Varell
258,7 Leben,Mitch Keller
259,"Du, die Wanne ist voll","Dieter Hallervorden, Helga Feddersen"
260,Weil ich so sexy bin,Trude Herr
261,Das rote Pferd,Markus Becker
262,Ich war noch niemals in New York,Udo Jürgens
263,Kein Schwein ruft mich an,Max Raabe
264,Küssen kann man nicht alleine,Max Raabe
265,Du bist wie Feuer im Vulkan,Die Amigos
266,Herzensschöner,Rosenstolz
267,Guildo hat euch lieb!,"Guildo Horn & Die Orthopadischen Strümpfe, Alf Igel"
268,Sieben Tafeln Schokolade,Bernhard Brink
269,Dschinghis Khan,Dschinghis Khan
270,Atemlos,Christian Lais
271,Stadt met K,Kasalla
272,"Schnappi, das kleine Krokodil","Schnappi, Joy"
273,Wir tanzen Lambada,Andrea Jürgens
274,Er gehört zu mir,Marianne Rosenberg
275,Ich bin kein Model und kein Superstar,Ole ohne Kohle

276,Ein Lied auf das Leben,Feuerherz
277,Halleluja - Auf das Leben,Patrick Lindner
278,Goldener Reiter,Joachim Witt
279,Du liebst mich nicht,"Sabrina Setlur, Schwester 3., Moses Pelham"
280,Ich mal für dich den Himmel blau,Olaf Henning
281,Haben Sie Wien schon bei Nacht geseh'n,Rainhard Fendrich
282,"Ein Stern, der Deinen Namen trägt",Nik P.
283,Helikopter 117 (Mach' den Hub Hub Hub),Tobee
284,Schöne Maid,Tony Marshall
285,"Theo, wirfahr'n nach Lodz",Vicky Leandros
286,...es kribbelt und es prickelt...,Kristina Bach
287,Egal was andere sagen,Eloy de Jong
288,Willkommen im Leben,Ute Freudenberg
289,Rock mi,voXXclub
290,Herzbeben,Helene Fischer
291,Ein bisschen Frieden,Nicole
292,Was soll das,Herbert Gronemeyer
